,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.discount_percentage,attributes.hr_20,attributes.today,relationships.duration.data.type,relationships.duration.data.id
841,projection,2748930,,2024-07-08T19:16:00-04:00,,Elsa Jacquemot,,,TNS_game_CTnRNvVITMYzp7ZhxSdPIEx7,False,0.5,standard,Single Stat,86,True,2024-07-15T04:00:00-04:00,Aces,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202044,projection_type,2,stat_type,61,,True,True,,
842,projection,2740301,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,4.5,standard,Single Stat,86,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:13-04:00,,league,268,new_player,184967,projection_type,2,stat_type,331,,True,True,,
843,projection,2748919,,2024-07-08T19:16:00-04:00,,Elsa Jacquemot,,,TNS_game_CTnRNvVITMYzp7ZhxSdPIEx7,False,17.0,standard,Fantasy Score,86,True,2024-07-15T04:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202044,projection_type,1,stat_type,14,,True,True,,
844,projection,2746265,True,2024-07-14T09:00:00-04:00,,ARI,,,31d5f726-cbc8-4c41-84d1-6a0d3dfd8118,False,0.5,demon,Single Stat,86,True,2024-07-14T16:10:00-04:00,Doubles,pre_game,,2024-07-14T14:01:17-04:00,,league,2,new_player,67500,projection_type,2,stat_type,639,,True,True,,
845,projection,2748942,,2024-07-08T19:16:00-04:00,,Elsa Jacquemot,,,TNS_game_CTnRNvVITMYzp7ZhxSdPIEx7,False,21.5,standard,Single Stat,86,True,2024-07-15T04:00:00-04:00,Total Games,pre_game,,2024-07-14T13:44:02-04:00,,league,5,new_player,202044,projection_type,2,stat_type,62,,True,True,,
846,projection,2740364,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,3.0,standard,Single Stat,87,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:31-04:00,,league,268,new_player,198283,projection_type,2,stat_type,597,,True,True,,
847,projection,2740302,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,2.5,standard,Single Stat,87,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:29-04:00,,league,268,new_player,198283,projection_type,2,stat_type,331,,True,True,,
848,projection,2740303,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,3.5,standard,Single Stat,88,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:17-04:00,,league,268,new_player,198284,projection_type,2,stat_type,331,,True,True,,
849,projection,2740365,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,2.5,standard,Single Stat,88,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:48:34-04:00,,league,268,new_player,198284,projection_type,2,stat_type,597,,True,True,,
850,projection,2746267,True,2024-07-14T09:00:00-04:00,,TOR,,,31d5f726-cbc8-4c41-84d1-6a0d3dfd8118,False,0.5,demon,Single Stat,88,True,2024-07-14T16:10:00-04:00,Doubles,pre_game,,2024-07-14T11:20:19-04:00,,league,2,new_player,192366,projection_type,2,stat_type,639,,True,True,,
